Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
agriculture & veterinary services,742,veterinary services,"merchants classified with this mcc are licensed practitioners of veterinary medicine, dentistry, or surgery. this mcc includes medical practitioners of pets (e.g., dogs, cats), livestock (e.g., cattle, horses, sheep, hogs, goats, poultry), and large or exotic animals.","animal doctors, hospitals
clinics – pet
hospitals – pet
pet clinics
services – veterinary",,,1,1,,3,2
agriculture & veterinary services,763,agricultural cooperatives,"""merchants classified with this mcc provide farm management services or engage in farming operations. also included in this mcc are associations and cooperatives that provide assistance and services to farmers in farm management. these services include, but are not limited to: financial assistance, management or complete maintenance of crops, soil preparation, planting and cultivating, aerial dusting and spraying, disease and insect control, weed control, and harvesting crops."" ","farm management
services
orchards
vineyards",prohibited,,1,1,,5,2
agriculture & veterinary services,780,horticultural and landscaping services,"merchants classified with this mcc provide landscape planning and design services. this mcc also includes merchants that offer a variety of lawn and garden services (e.g., planting, fertilizing, mowing, mulching, seeding, spraying, sod laying).","gardening services
horticulture services
services – gardening
services – horticulture
services – landscaping",,,1,3,,10,2
contracted services,1520,general contractors–residential and commercial,"merchants classified with this mcc are general contractors primarily engaged in construction of residential and/or commercial buildings. this mcc includes contractors that perform new construction as well as remodeling, repair, additions, or alterations.","building contractors –
 residential, commercial
construction companies
contractors – general
 contractors – residential,
 commercial",restricted/high risk,restricted/high risk,3,4,contractors license required in some cases,15,2
contracted services,1711,"air conditioning, heating and plumbing contractors","merchants classified with this mcc are contractors that provide heating, plumbing and air conditioning services. this mcc includes contractors that perform air system balancing and testing, drainage system installation, furnace repair, irrigation system installation, refrigeration and freezer work, sewer hookups and connections, solar heating, sprinkler system installation and water pump installation and servicing.","air conditioning
 contractors
contractors – air
 conditioning
contractors – heating
contractors – plumbing
heating contractors
plumbing contractors",restricted/high risk,restricted/high risk,3,3,contractors license required in some cases,7,2
contracted services,1731,electrical contractors,"merchants classified with this mcc are contractors that provide electrical work such as fire alarm installation, sound equipment installation, telecommunications equipment installation, cable/internet installation, and telephone and telephone equipment installation.",contractors – electrical,restricted/high risk,restricted/high risk,3,3,contractors license required in some cases,7,2
contracted services,1740,"insulation, masonry, plastering, stonework and tile setting contractors","merchants classified with this mcc are contractors that perform masonry work, stone setting and other stone work, tile setting, plain and ornamental plastering, and insulation. this mcc also includes contractors that perform bricklaying, ceramic and marble work, mosaic work, acoustical improvements, and drywall construction.","contractors – insulation
contractors – masonry
contractors – plastering
contractors – stonework
contractors – tile setting
insulation contractors
plastering contractors
stonework contractors
tile setting contractors",restricted/high risk,restricted/high risk,3,4,contractors license required in some cases,15,2
contracted services,1750,carpentry contractors,"merchants classified with this mcc are contractors that perform carpentry work. this mcc includes contractors that do cabinet work at the construction site, framing, trim and finish work and window and door installation.",contractors – carpentry 15,restricted/high risk,restricted/high risk,3,4,contractors license required in some cases,15,2
contracted services,1761,"roofing and siding, sheet metal work contractors","merchants classified with this mcc are contractors that install roofing and/or siding and do sheet metal work. this mcc includes contractors that perform architectural sheet metal work, ceilings and skylight installation, duct and gutter installation, and roof spraying, painting or coating.","contractors – roofing
contractors – sheet
 metal work
contractors – siding
sheet metal work
 contractors
siding contractors",restricted/high risk,restricted/high risk,3,4,contractors license required in some cases,15,2
contracted services,1771,concrete work contractors,"merchants classified with this mcc are contractors that perform concrete, cement or asphalt work. this mcc includes contractors that construct private driveways and walks of all materials. also included in this category are contractors that pour concrete for foundations and perform grouting work and concrete patio and sidewalk construction.","asphalt contractors
cement contractors
contractors – concrete
 work",restricted/high risk,restricted/high risk,3,4,contractors license required in some cases,15,2
